start time, request type, latency, response code
2023-02-04 17:01:05, POST, 381, 200, 
2023-02-04 17:01:04, POST, 422, 200, 
2023-02-04 17:01:04, POST, 424, 200, 
2023-02-04 17:01:04, POST, 410, 200, 
2023-02-04 17:01:04, POST, 416, 200, 
2023-02-04 17:01:04, POST, 419, 200, 
2023-02-04 17:01:04, POST, 419, 200, 
2023-02-04 17:01:05, POST, 392, 200, 
2023-02-04 17:01:04, POST, 418, 200, 
2023-02-04 17:01:04, POST, 402, 200, 
2023-02-04 17:01:04, POST, 407, 200, 
2023-02-04 17:01:04, POST, 415, 200, 
2023-02-04 17:01:04, POST, 414, 200, 
2023-02-04 17:01:05, POST, 381, 200, 
2023-02-04 17:01:05, POST, 401, 200, 
2023-02-04 17:01:05, POST, 387, 200, 
2023-02-04 17:01:04, POST, 419, 200, 
2023-02-04 17:01:05, POST, 392, 200, 
2023-02-04 17:01:04, POST, 417, 200, 
2023-02-04 17:01:04, POST, 411, 200, 
2023-02-04 17:01:05, POST, 384, 200, 
2023-02-04 17:01:04, POST, 399, 200, 
2023-02-04 17:01:05, POST, 402, 200, 
2023-02-04 17:01:05, POST, 392, 200, 
2023-02-04 17:01:04, POST, 417, 200, 
2023-02-04 17:01:04, POST, 428, 200, 
2023-02-04 17:01:04, POST, 409, 200, 
2023-02-04 17:01:04, POST, 410, 200, 
2023-02-04 17:01:04, POST, 417, 200, 
2023-02-04 17:01:04, POST, 417, 200, 
2023-02-04 17:01:05, POST, 390, 200, 
2023-02-04 17:01:04, POST, 402, 200, 
2023-02-04 17:01:05, POST, 392, 200, 
2023-02-04 17:01:05, POST, 392, 200, 
2023-02-04 17:01:04, POST, 404, 200, 
2023-02-04 17:01:05, POST, 386, 200, 
2023-02-04 17:01:04, POST, 397, 200, 
2023-02-04 17:01:05, POST, 400, 200, 
2023-02-04 17:01:05, POST, 381, 200, 
2023-02-04 17:01:05, POST, 393, 200, 
2023-02-04 17:01:04, POST, 405, 200, 
2023-02-04 17:01:05, POST, 388, 200, 
2023-02-04 17:01:04, POST, 408, 200, 
2023-02-04 17:01:05, POST, 385, 200, 
2023-02-04 17:01:05, POST, 381, 200, 
